temporada,competicao,plantel,jogos,pontos_por_jogo,gols,assistencias,gols_contra,suplente_utilizado,substituicoes,cartoes_amarelos,expulsoes_dois_amarelos,expulsoes_vermelho_direto,gol_de_penalti,minutos_por_gol,minutos_jogados
2024,Paulistão A1,10,10,1,4,-,-,2,5,1,-,-,-,183',730'
2023,Série A,35,34,"1,35",8,4,-,2,15,6,-,-,-,342',2734'
2023,Copa Sul-Americana,6,6,"1,83",2,-,-,1,2,1,-,-,1,245',490'
2023,Copa do Brasil,8,8,"1,5",1,1,-,-,2,2,-,-,-,703',703'
2023,Libertadores,5,5,"0,8",-,-,-,-,2,1,-,-,-,-,410'
2023,Paulistão A1,10,10,"2,11",4,4,-,-,3,1,-,-,-,192,888'
2022,Série A,20,20,"1,8",8,1,-,5,2,2,1,-,-,181',1451'
2022,Copa do Brasil,6,6,"1,33",3,1,-,-,3,2,-,-,-,177',530'
2022,Libertadores,2,2,0,-,-,-,-,1,-,-,-,-,-,149'
2022,Premier Liga,11,11,"2,45",4,2,-,2,9,1,-,-,-,183',733'
2022,Taça da Rússia,2,2,"1,5",2,2,-,1,1,-,-,-,-,42',84'
2022,Liga Europa,2,2,"0,5",-,-,-,1,1,-,-,-,-,-,109'
2022,Campeonato Gaúcho,1,1,3,1,-,-,-,1,-,-,-,-,88',88'
2021,Série A,34,33,"1,33",12,3,-,2,14,7,-,-,-,225',2698'
2021,Libertadores,7,7,"1,43",3,-,-,4,1,-,1,-,-,127',381'
2021,Copa do Brasil,2,2,"1,5",-,-,-,-,2,-,-,-,-,-,133'
2021,Campeonato Gaúcho,13,13,"3,11",4,1,-,7,4,1,-,1,1,355',642'
2020,Série A,25,23,"1,78",10,1,-,9,12,3,-,-,-,130',1302'
2020,Libertadores,3,3,0,-,-,-,1,1,-,-,-,-,-,181'
2020,Copa do Brasil,3,3,1,1,-,-,2,1,1,-,-,-,115',115'
2020,Paulistão A1,4,3,"1,33",1,1,-,-,1,-,-,-,-,253',253'
2020,Libertadores,2,2,3,-,-,-,1,1,-,-,-,-,-,113'
2019,Série A,4,0,-,-,-,-,-,-,-,-,-,-,-,-
2019,Copa Sul-Americana,2,0,-,-,-,-,-,-,-,-,-,-,-,-
2019,Copa do Brasil,1,0,-,-,-,-,-,-,-,-,-,-,-,-
2018,Série A,21,8,"0,38",-,-,-,7,1,1,-,-,-,-,184'
2018,Copa do Brasil,4,2,"1,5",1,-,-,1,-,-,-,-,-,96',96'
2018,Libertadores,2,1,1,-,-,-,1,-,-,-,-,-,-,41'
