temporada,competição,rodada,data,cidade,por,adversario,resultado,posicao,minuto,para resultado,tipo de gol,assistencia
2018,Campeonato Paulista - Série A1 - Primeira fase,11,07/03/18,F,Santos FC,Novorizontino FC,2:1,,54',1:1,Chute com o pé direito,
2018,Copa do Brasil,Oitavas de final,11/05/18,C,Santos FC,Luverdense EC,5:1,,86',5:1,,Arthur Gomes
2020,Campeonato Paulista - Série A1 - Primeira fase,9,07/03/20,C,Santos FC,Mirassol,3:1,CA,19',2:0,,
2020,Campeonato Brasileiro Série A,16,15/10/20,F,SC Internacional,Sport Recife,3:5,,81',2:5,Chute com o pé direito,Edenilson
2020,Campeonato Brasileiro Série A,20,08/11/20,C,SC Internacional,Coritiba FC,2:2,CA,33',1:0,Cabeçada,Heitor
2020,Copa do Brasil,Quartas de final,19/11/20,F,SC Internacional,América-MG,6:5 pen.,,90'+5,0:1,Chute com o pé direito,
2020,Campeonato Brasileiro Série A,24,06/12/20,F,SC Internacional,Atlético Mineiro,2:2,CA,9',0:1,Cabeçada,Marcos Guilherme
2020,Campeonato Brasileiro Série A,25,12/12/20,C,SC Internacional,Botafogo FR,2:1,CA,67',2:1,Chute com o pé direito,
2020,Campeonato Brasileiro Série A,26,20/12/20,C,SC Internacional,SE Palmeiras,2:0,,83',2:0,Gol em contra-ataque,Edenilson
2020,Campeonato Brasileiro Série A,28,7/1/21,F,SC Internacional,Ceará SC,0:2,CA,77',0:2,Chute com o pé esquerdo,
2020,Campeonato Brasileiro Série A,30,18/1/21,C,SC Internacional,Fortaleza EC,4:2,CA,4',1:0,Só empurrou pra dentro,
2020,Campeonato Brasileiro Série A,31,21/01/21,F,SC Internacional,São Paulo FC,1:5,CA,60',1:3,Chute com o pé esquerdo,Rodrigo Dourado
2020,Campeonato Brasileiro Série A,31,21/01/21,F,SC Internacional,São Paulo FC,1:5,CA,66',1:4,Chute com o pé direito,Peglow
2020,Campeonato Brasileiro Série A,31,21/01/21,F,SC Internacional,São Paulo FC,1:5,CA,68',1:5,Chute com o pé esquerdo,Patrick
2021,Campeonato Gaúcho,Fase de grupos,09/03/21,C,SC Internacional,EC São Luiz,1:2,CA,63',1:1,Chute com o pé esquerdo,Heitor
2021,Campeonato Gaúcho,Fase de grupos,15/03/21,C,SC Internacional,Ypiranga FC,4:2,CA,6',1:0,,Rodinei
2021,Campeonato Gaúcho,11,25/04/21,C,SC Internacional,Clube Esportivo Bento Gonçalves,5:0,CA,40',3:0,Pênalti,
2021,Copa Libertadores,Fase de grupos,28/04/21,C,SC Internacional,Deportivo Tachira,4:0,,75',4:0,Gol em contra-ataque,Maurício
2021,Copa Libertadores,Fase de grupos,06/05/21,C,SC Internacional,Olimpia Asunción,6:1,,77',5:0,Chute com o pé direito,Marcos Guilherme
2021,Campeonato Gaúcho - Fase Final,Smi-finais,08/05/21,C,SC Internacional,EC Juventude,4:1,,43',1:0,,Thiago Galhardo
2021,Copa Libertadores,Fase de grupos,21/05/21,F,SC Internacional,Olimpia Asunción,0:1,,83',0:1,Chute com o pé direito,Marcos Guilherme
2021,Campeonato Brasileiro Série A,6,25/06/21,F,SC Internacional,Chapecoense,1:2,CA,35',0:2,Chute com o pé direito,Patrick
